dsid,job_title,experience_level,work_year,salary,salary_currency,salary_in_usd
297,Data Analyst,SE,2022,84900,USD,84900
298,Data Scientist,SE,2022,136620,USD,136620
299,Data Scientist,SE,2022,99360,USD,99360
300,Data Scientist,SE,2022,90000,GBP,117789
301,Data Scientist,SE,2022,80000,GBP,104702
302,Data Scientist,SE,2022,146000,USD,146000
303,Data Scientist,SE,2022,123000,USD,123000
304,Data Engineer,EN,2022,40000,GBP,52351
305,Data Analyst,SE,2022,99000,USD,99000
306,Data Analyst,SE,2022,116000,USD,116000
307,Data Analyst,MI,2022,106260,USD,106260
308,Data Analyst,MI,2022,126500,USD,126500
309,Data Engineer,EX,2022,242000,USD,242000
310,Data Engineer,EX,2022,200000,USD,200000
311,Data Scientist,MI,2022,50000,GBP,65438
312,Data Scientist,MI,2022,30000,GBP,39263
313,Data Engineer,MI,2022,60000,GBP,78526
314,Data Engineer,MI,2022,40000,GBP,52351
315,Data Scientist,SE,2022,165220,USD,165220
316,Data Engineer,EN,2022,35000,GBP,45807
317,Data Scientist,SE,2022,120160,USD,120160
318,Data Analyst,SE,2022,90320,USD,90320
319,Data Engineer,SE,2022,181940,USD,181940
320,Data Engineer,SE,2022,132320,USD,132320
321,Data Engineer,SE,2022,220110,USD,220110
322,Data Engineer,SE,2022,160080,USD,160080
323,Data Scientist,SE,2022,180000,USD,180000
324,Data Scientist,SE,2022,120000,USD,120000
325,Data Analyst,SE,2022,124190,USD,124190
326,Data Analyst,EX,2022,130000,USD,130000
327,Data Analyst,EX,2022,110000,USD,110000
328,Data Analyst,SE,2022,170000,USD,170000
329,Data Analyst,MI,2022,115500,USD,115500
330,Data Analyst,SE,2022,112900,USD,112900
331,Data Analyst,SE,2022,90320,USD,90320
332,Data Analyst,SE,2022,112900,USD,112900
333,Data Analyst,SE,2022,90320,USD,90320
334,Data Engineer,SE,2022,165400,USD,165400
335,Data Engineer,SE,2022,132320,USD,132320
336,Data Analyst,MI,2022,167000,USD,167000
337,Data Engineer,SE,2022,243900,USD,243900
338,Data Analyst,SE,2022,136600,USD,136600
339,Data Analyst,SE,2022,109280,USD,109280
340,Data Engineer,SE,2022,128875,USD,128875
341,Data Engineer,SE,2022,93700,USD,93700
342,Head of Data Science,EX,2022,224000,USD,224000
343,Head of Data Science,EX,2022,167875,USD,167875
344,Analytics Engineer,EX,2022,175000,USD,175000
345,Data Engineer,SE,2022,156600,USD,156600
346,Data Engineer,SE,2022,108800,USD,108800
347,Data Scientist,SE,2022,95550,USD,95550
348,Data Engineer,SE,2022,113000,USD,113000
349,Data Analyst,SE,2022,135000,USD,135000
350,Data Science Manager,SE,2022,161342,USD,161342
351,Data Science Manager,SE,2022,137141,USD,137141
352,Data Scientist,SE,2022,167000,USD,167000
353,Data Scientist,SE,2022,123000,USD,123000
354,Data Engineer,SE,2022,60000,GBP,78526
355,Data Engineer,SE,2022,50000,GBP,65438
356,Data Scientist,SE,2022,150000,USD,150000
357,Data Scientist,SE,2022,211500,USD,211500
358,Data Architect,SE,2022,192400,USD,192400
359,Data Architect,SE,2022,90700,USD,90700
360,Data Analyst,SE,2022,130000,USD,130000
361,Data Analyst,SE,2022,61300,USD,61300
362,Data Analyst,SE,2022,130000,USD,130000
363,Data Analyst,SE,2022,61300,USD,61300
364,Data Engineer,SE,2022,160000,USD,160000
365,Data Scientist,SE,2022,138600,USD,138600
366,Data Engineer,SE,2022,136000,USD,136000
367,Data Analyst,MI,2022,58000,USD,58000
368,Analytics Engineer,EX,2022,135000,USD,135000
369,Data Scientist,SE,2022,170000,USD,170000
370,Data Scientist,SE,2022,123000,USD,123000
371,Machine Learning Engineer,SE,2022,189650,USD,189650
372,Machine Learning Engineer,SE,2022,164996,USD,164996
373,ETL Developer,MI,2022,50000,EUR,54957
374,ETL Developer,MI,2022,50000,EUR,54957
375,Lead Data Engineer,EX,2022,150000,CAD,118187
376,Data Analyst,SE,2022,132000,USD,132000
377,Data Engineer,SE,2022,165400,USD,165400
378,Data Architect,SE,2022,208775,USD,208775
379,Data Architect,SE,2022,147800,USD,147800
380,Data Engineer,SE,2022,136994,USD,136994
381,Data Engineer,SE,2022,101570,USD,101570
382,Data Analyst,SE,2022,128875,USD,128875
383,Data Analyst,SE,2022,93700,USD,93700
384,Head of Machine Learning,EX,2022,6000000,INR,79039
385,Data Engineer,SE,2022,132320,USD,132320
386,Machine Learning Engineer,EN,2022,28500,GBP,37300
387,Data Analyst,SE,2022,164000,USD,164000
388,Data Engineer,SE,2022,155000,USD,155000
389,Machine Learning Engineer,MI,2022,95000,GBP,124333
390,Machine Learning Engineer,MI,2022,75000,GBP,98158
391,AI Scientist,MI,2022,120000,USD,120000
392,Data Analyst,SE,2022,112900,USD,112900
393,Data Analyst,SE,2022,90320,USD,90320
394,Data Analytics Manager,SE,2022,145000,USD,145000
395,Data Analytics Manager,SE,2022,105400,USD,105400
396,Machine Learning Engineer,MI,2022,80000,EUR,87932
397,Data Engineer,MI,2022,90000,GBP,117789
398,Data Scientist,SE,2022,215300,USD,215300
399,Data Scientist,SE,2022,158200,USD,158200
400,Data Engineer,SE,2022,209100,USD,209100
401,Data Engineer,SE,2022,154600,USD,154600
402,Data Analyst,SE,2022,115934,USD,115934
403,Data Analyst,SE,2022,81666,USD,81666
404,Data Engineer,SE,2022,175000,USD,175000
405,Data Engineer,MI,2022,75000,GBP,98158
406,Data Analyst,MI,2022,58000,USD,58000
407,Data Engineer,SE,2022,183600,USD,183600
408,Data Analyst,MI,2022,40000,GBP,52351
409,Data Scientist,SE,2022,180000,USD,180000
410,Data Scientist,MI,2022,55000,GBP,71982
411,Data Scientist,MI,2022,35000,GBP,45807
412,Data Engineer,MI,2022,60000,EUR,65949
413,Data Engineer,MI,2022,45000,EUR,49461
414,Data Engineer,MI,2022,60000,GBP,78526
415,Data Engineer,MI,2022,45000,GBP,58894
416,Data Scientist,SE,2022,260000,USD,260000
417,Data Science Engineer,SE,2022,60000,USD,60000
418,Data Engineer,MI,2022,63900,USD,63900
419,Machine Learning Scientist,MI,2022,160000,USD,160000
420,Machine Learning Scientist,MI,2022,112300,USD,112300
421,Data Science Manager,MI,2022,241000,USD,241000
422,Data Science Manager,MI,2022,159000,USD,159000
423,Data Scientist,SE,2022,180000,USD,180000
424,Data Scientist,SE,2022,80000,USD,80000
425,Data Engineer,MI,2022,82900,USD,82900
426,Data Engineer,SE,2022,100800,USD,100800
427,Data Engineer,MI,2022,45000,EUR,49461
428,Data Scientist,SE,2022,140400,USD,140400
429,Data Analyst,MI,2022,30000,GBP,39263
430,Data Analyst,MI,2022,40000,EUR,43966
431,Data Analyst,MI,2022,30000,EUR,32974
432,Data Engineer,MI,2022,80000,EUR,87932
433,Data Engineer,MI,2022,70000,EUR,76940
434,Data Engineer,MI,2022,80000,GBP,104702
435,Data Engineer,MI,2022,70000,GBP,91614
436,Data Engineer,MI,2022,60000,EUR,65949
437,Data Engineer,MI,2022,80000,EUR,87932
438,Machine Learning Engineer,SE,2022,189650,USD,189650
439,Machine Learning Engineer,SE,2022,164996,USD,164996
440,Data Analyst,MI,2022,40000,EUR,43966
441,Data Analyst,MI,2022,30000,EUR,32974
442,Data Engineer,MI,2022,75000,GBP,98158
443,Data Engineer,MI,2022,60000,GBP,78526
444,Data Scientist,SE,2022,215300,USD,215300
445,Data Engineer,MI,2022,70000,EUR,76940
446,Data Engineer,SE,2022,209100,USD,209100
447,Data Engineer,SE,2022,154600,USD,154600
448,Data Engineer,SE,2022,180000,USD,180000
449,ML Engineer,EN,2022,20000,EUR,21983
450,Data Engineer,SE,2022,80000,USD,80000
451,Machine Learning Developer,MI,2022,100000,CAD,78791
452,Director of Data Science,EX,2022,250000,CAD,196979
453,Machine Learning Engineer,MI,2022,120000,USD,120000
454,Computer Vision Engineer,EN,2022,125000,USD,125000
455,NLP Engineer,MI,2022,240000,CNY,37236
456,Data Engineer,SE,2022,105000,USD,105000
457,Lead Machine Learning Engineer,SE,2022,80000,EUR,87932
458,Business Data Analyst,MI,2022,1400000,INR,18442
459,Data Scientist,MI,2022,2400000,INR,31615
460,Machine Learning Infrastructure Engineer,MI,2022,53000,EUR,58255
461,Financial Data Analyst,EN,2022,100000,USD,100000
462,Data Engineer,MI,2022,50000,EUR,54957
463,Data Scientist,EN,2022,1400000,INR,18442
464,Principal Data Scientist,SE,2022,148000,EUR,162674
465,Data Engineer,EN,2022,120000,USD,120000
466,Research Scientist,SE,2022,144000,USD,144000
467,Data Scientist,SE,2022,104890,USD,104890
468,Data Engineer,SE,2022,100000,USD,100000
469,Data Scientist,SE,2022,140000,USD,140000
470,Data Analyst,MI,2022,135000,USD,135000
471,Data Analyst,MI,2022,50000,USD,50000
472,Data Scientist,SE,2022,220000,USD,220000
473,Data Scientist,SE,2022,140000,USD,140000
474,Data Scientist,MI,2022,140000,GBP,183228
475,Data Scientist,MI,2022,70000,GBP,91614
476,Data Scientist,SE,2022,185100,USD,185100
477,Machine Learning Engineer,SE,2022,220000,USD,220000
478,Data Scientist,MI,2022,200000,USD,200000
479,Data Scientist,MI,2022,120000,USD,120000
480,Machine Learning Engineer,SE,2022,120000,USD,120000
481,Machine Learning Engineer,SE,2022,65000,USD,65000
482,Data Engineer,EX,2022,324000,USD,324000
483,Data Engineer,EX,2022,216000,USD,216000
484,Data Engineer,SE,2022,210000,USD,210000
485,Machine Learning Engineer,SE,2022,120000,USD,120000
486,Data Scientist,SE,2022,230000,USD,230000
487,Data Scientist,EN,2022,100000,USD,100000
488,Data Scientist,MI,2022,100000,USD,100000
489,Applied Machine Learning Scientist,EN,2022,29000,EUR,31875
490,Head of Data,SE,2022,200000,USD,200000
491,Principal Data Analyst,MI,2022,75000,USD,75000
492,Data Scientist,MI,2022,150000,PLN,35590
493,Machine Learning Developer,SE,2022,100000,CAD,78791
494,Data Scientist,SE,2022,100000,USD,100000
495,Machine Learning Scientist,MI,2022,153000,USD,153000
496,Data Engineer,EN,2022,52800,EUR,58035
497,Data Scientist,SE,2022,165000,USD,165000
498,Research Scientist,SE,2022,85000,EUR,93427
499,Data Scientist,EN,2022,66500,CAD,52396
500,Machine Learning Engineer,SE,2022,57000,EUR,62651
501,Head of Data,MI,2022,30000,EUR,32974
502,Data Scientist,EN,2022,40000,USD,40000
503,Machine Learning Engineer,MI,2022,121000,AUD,87425
504,Data Engineer,SE,2022,115000,USD,115000
505,Data Scientist,EN,2022,120000,AUD,86703
506,Applied Machine Learning Scientist,MI,2022,75000,USD,75000
507,Research Scientist,MI,2022,59000,EUR,64849
508,Research Scientist,EN,2022,120000,USD,120000
509,Applied Data Scientist,MI,2022,157000,USD,157000
510,Computer Vision Software Engineer,EN,2022,150000,USD,150000
511,Business Data Analyst,MI,2022,90000,CAD,70912
512,Data Engineer,EN,2022,65000,USD,65000
513,Machine Learning Engineer,SE,2022,65000,EUR,71444
514,Data Analytics Engineer,EN,2022,20000,USD,20000
515,Data Scientist,MI,2022,48000,USD,48000
516,Data Science Manager,SE,2022,152500,USD,152500
517,Data Engineer,MI,2022,62000,EUR,68147
518,Data Scientist,MI,2022,115000,CHF,122346
519,Applied Data Scientist,SE,2022,380000,USD,380000
520,Data Scientist,MI,2022,88000,CAD,69336
521,Computer Vision Engineer,EN,2022,10000,USD,10000
522,Data Analyst,MI,2022,20000,USD,20000
523,Data Analytics Lead,SE,2022,405000,USD,405000
524,Data Scientist,MI,2022,135000,USD,135000
525,Applied Data Scientist,SE,2022,177000,USD,177000
526,Data Scientist,MI,2022,78000,USD,78000
527,Data Analyst,SE,2022,135000,USD,135000
528,Data Analyst,SE,2022,100000,USD,100000
529,Data Analyst,SE,2022,90320,USD,90320
530,Data Analyst,MI,2022,85000,USD,85000
531,Data Analyst,MI,2022,75000,USD,75000
532,Machine Learning Engineer,SE,2022,214000,USD,214000
533,Machine Learning Engineer,SE,2022,192600,USD,192600
534,Data Architect,SE,2022,266400,USD,266400
535,Data Architect,SE,2022,213120,USD,213120
536,Data Analyst,SE,2022,112900,USD,112900
537,Data Engineer,SE,2022,155000,USD,155000
538,Data Scientist,MI,2022,141300,USD,141300
539,Data Scientist,MI,2022,102100,USD,102100
540,Data Analyst,SE,2022,115934,USD,115934
541,Data Analyst,SE,2022,81666,USD,81666
542,Data Engineer,MI,2022,206699,USD,206699
543,Data Engineer,MI,2022,99100,USD,99100
544,Data Engineer,SE,2022,130000,USD,130000
545,Data Engineer,SE,2022,115000,USD,115000
546,Data Engineer,SE,2022,110500,USD,110500
547,Data Engineer,SE,2022,130000,USD,130000
548,Data Analyst,SE,2022,99050,USD,99050
549,Data Engineer,SE,2022,160000,USD,160000
550,Data Scientist,SE,2022,205300,USD,205300
551,Data Scientist,SE,2022,140400,USD,140400
552,Data Scientist,SE,2022,176000,USD,176000
553,Data Scientist,SE,2022,144000,USD,144000
554,Data Engineer,SE,2022,200100,USD,200100
555,Data Engineer,SE,2022,160000,USD,160000
556,Data Engineer,SE,2022,145000,USD,145000
557,Data Engineer,SE,2022,70500,USD,70500
558,Data Scientist,SE,2022,205300,USD,205300
559,Data Scientist,SE,2022,140400,USD,140400
560,Analytics Engineer,SE,2022,205300,USD,205300
561,Analytics Engineer,SE,2022,184700,USD,184700
562,Data Engineer,SE,2022,175100,USD,175100
563,Data Engineer,SE,2022,140250,USD,140250
564,Data Analyst,SE,2022,116150,USD,116150
565,Data Engineer,SE,2022,54000,USD,54000
566,Data Analyst,SE,2022,170000,USD,170000
567,Data Analyst,MI,2022,50000,GBP,65438
568,Data Analyst,SE,2022,80000,USD,80000
569,Data Scientist,SE,2022,140000,USD,140000
570,Data Scientist,SE,2022,210000,USD,210000
571,Data Scientist,SE,2022,140000,USD,140000
572,Data Analyst,SE,2022,100000,USD,100000
573,Data Analyst,SE,2022,69000,USD,69000
574,Data Scientist,SE,2022,210000,USD,210000
575,Data Scientist,SE,2022,140000,USD,140000
576,Data Scientist,SE,2022,210000,USD,210000
577,Data Analyst,SE,2022,150075,USD,150075
578,Data Engineer,SE,2022,100000,USD,100000
579,Data Engineer,SE,2022,25000,USD,25000
580,Data Analyst,SE,2022,126500,USD,126500
581,Data Analyst,SE,2022,106260,USD,106260
582,Data Engineer,SE,2022,220110,USD,220110
583,Data Engineer,SE,2022,160080,USD,160080
584,Data Analyst,SE,2022,105000,USD,105000
585,Data Analyst,SE,2022,110925,USD,110925
586,Data Analyst,MI,2022,35000,GBP,45807
587,Data Scientist,SE,2022,140000,USD,140000
588,Data Analyst,SE,2022,99000,USD,99000
589,Data Analyst,SE,2022,60000,USD,60000
590,Data Architect,SE,2022,192564,USD,192564
591,Data Architect,SE,2022,144854,USD,144854
592,Data Scientist,SE,2022,230000,USD,230000
593,Data Scientist,SE,2022,150000,USD,150000
594,Data Analytics Manager,SE,2022,150260,USD,150260
595,Data Analytics Manager,SE,2022,109280,USD,109280
596,Data Scientist,SE,2022,210000,USD,210000
597,Data Analyst,SE,2022,170000,USD,170000
598,Data Scientist,MI,2022,160000,USD,160000
599,Data Scientist,MI,2022,130000,USD,130000
600,Data Analyst,EN,2022,67000,USD,67000
601,Data Analyst,EN,2022,52000,USD,52000
602,Data Engineer,SE,2022,154000,USD,154000
603,Data Engineer,SE,2022,126000,USD,126000
604,Data Analyst,SE,2022,129000,USD,129000
605,Data Analyst,SE,2022,150000,USD,150000
606,AI Scientist,MI,2022,200000,USD,200000
